Feature,Importance,Importance_Percentage
Time,0.10777868164676045,10.777868164676045
Cause_of_accident,0.0619051264330683,6.19051264330683
Type_of_vehicle,0.05483749519491225,5.483749519491226
Day_of_week,0.05211142653351427,5.211142653351427
Area_accident_occured,0.04876029970285096,4.876029970285096
Driving_experience,0.046197696942302115,4.619769694230212
Service_year_of_vehicle,0.04453362933005309,4.453362933005309
Lanes_or_Medians,0.040215032447950654,4.021503244795065
Vehicle_movement,0.040024112048951066,4.002411204895107
Types_of_Junction,0.03945904657982468,3.9459046579824677
Number_of_vehicles_involved,0.03801151417547293,3.801151417547293
Age_band_of_driver,0.03784289760475857,3.784289760475857
Work_of_casuality,0.03347365655644864,3.347365655644864
Educational_level,0.03267839103946253,3.2678391039462533
Number_of_casualties,0.03267586078491365,3.267586078491365
Type_of_collision,0.028980123340382385,2.8980123340382384
Age_band_of_casualty,0.02886113950165316,2.886113950165316
Road_allignment,0.023088473030160053,2.3088473030160053
Casualty_class,0.020928818975916967,2.0928818975916967
Vehicle_driver_relation,0.019719893527336163,1.9719893527336163
Sex_of_casualty,0.019513834934477406,1.9513834934477405
Weather_conditions,0.018417320703101113,1.8417320703101112
Defect_of_vehicle,0.018377695413259947,1.8377695413259947
Light_conditions,0.01714983216092777,1.7149832160927772
Owner_of_vehicle,0.01642652336116518,1.642652336116518
Road_surface_conditions,0.015748968891185516,1.5748968891185515
Casualty_severity,0.013908778947001819,1.3908778947001819
Road_surface_type,0.01369887183468242,1.369887183468242
Fitness_of_casuality,0.01281087274493232,1.281087274493232
Pedestrian_movement,0.012559718626970893,1.2559718626970893
Sex_of_driver,0.009304266985602735,0.9304266985602735
